#Ganymede	Io	Europa	Callisto	Time Overall (s)	E-J distance (AU)
299.8	285.9	404.5	1144.9	17588	4.024548855
-400.9	-315.6	-394.5	1370.5	106706	4.031150437
-761.8	324.4	-313.1	1398	180667	4.038025589
-771.9	314.4	-300.3	1392.9	184242	4.038025589
-780.2	302     -267.5	1391.4	187998	4.038025589
-784.6	285	    -236.6	1388.8	191498	4.038025589
-785.9	261.4	-204	1390.2	194742	4.038025589
-794.4	233.8	-170.4	1381.7	198731	4.038025589
-790.9	202	    -137	1381.1	201744	4.038025589
-614.4	-216.9	472.5	1219.6	276792	4.045172281
617.6	0	    -495.5	410.1	450916	4.060269897
791.1	0	    0	    -76.2	527094	4.068215327
787.5	0	    0	    -91.2	530270	4.068215327
779.5	-127.2	125.2	-110.4	534428	4.068215327
779.5	-158.4	164.2	-127	537778	4.068215327
772.4	-198	207.9	-146.3	541941	4.068215327
761.6	-224    234.5	-166	544958	4.068215327
755.8	-260    253.7	-183.7	548213	4.068215327
397.8	223.2	450.5	-597.3	620464	4.076420333
-720.9	298.6	-381.7	-1273.3	785198	4.093596253
-729	306.6	-356.6	-1298.9	788884	4.093596253
-740.2	308.8	-329.3	-1287.3	792706	4.093596253
-750.1	304.1	-300.5	-1294.6	796502	4.093596253
-757.6	294.5	-273.5	-1302.2	799845	4.093596253
-761.8	278.9	-248.6	-1307.8	802692	4.093596253
-764.4	258.8	-220.1	-1310.6	805643	4.093596253
-652.9	-254.5	444.7	-1385	883303	4.102558751
-174.6	259.6	228.4	-1298.5	958702	4.111765801
539	    67.2	-489.3	-995.9	1054420	4.121214099
782.5	0	    0	    -608.5	1133862	4.130899297
0	    284.1   468.7	-268.9	1230664	4.150963092



